Loudspeaker	GPRS	WLAN	Dimensions	Price group	2G Network	Battery life	Multitouch	Camera	Audio quality	Stand-by	GPU	Java	Type	CPU	SIM	USB	Status	Company	Chipset	Protection	Announced	Video	Sensors	GPS	Secondary	Card slot	EDGE	Talk time	4G Network	jack	Messaging	Display	Browser	Alert types	Weight	Speed	Image	Primary	3G Network	Bluetooth	Colors	Internal	Radio	Music play	OS	Brand	Size	segment
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	107 x 46 x 16 mm, 65 cc (4.21 x 1.81 x 0.63 in)	70	GSM 900 / 1800 / 1900 	No	No	No	No	310	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, v2.0	Discontinued	Motorola	No	No	2008, September. Released 2009, January	Yes	No	No	VGA videocall camera	microSD, up to 4 GB	No	6	No	No	SMS, MMS, Email, Push Email	No	WAP 2.0/xHTML	Vibration; Polyphonic(64) ringtones	83 g (2.93 oz)	Yes, 384 kbps	http://cdn2.gsmarena.com/vv/thumb/motorola-ve538.jpg	2 MP, 1600x1200 pixels	UMTS 2100 	Yes v1.2 with A2DP	Black	10 MB	No	No	No	VE538	240 x 320 pixels, 2.0 inches (~200 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	103 x 53 x 13 mm (4.06 x 2.09 x 0.51 in)	130	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	260	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, microUSB v2.0	Discontinued	Motorola	No	No	2008, July	Yes, QCIF	No	Yes, with A-GPS support; AT&T Navigator	No	microSD, up to 8 GB	Class 10, 236.8 kbps	3	No	No	SMS, EMS, MMS, Email, Instant Messaging	No	WAP 2.0/xHTML, HTML (Opera 8.5)	Vibration; Downloadable polyphonic, MP3 ringtones	125 g (4.41 oz)	HSDPA, 3.6 Mbps	http://cdn2.gsmarena.com/vv/thumb/motorola-v9x.jpg	2 MP, 1600x1200 pixels	HSDPA 2100 	Yes, v2.0 with A2DP	Black	45 MB	No	No	No	RAZR2 V9x	240 x 320 pixels, 2.2 inches (~182 ppi pixel density)	mid_range
Yes	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	No	105 x 47 x 15.9 mm (4.13 x 1.85 x 0.63 in)	80	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	340	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, v2.0	Discontinued	Motorola	No	No	2008, August. Released 2008, August	Yes	No	No	No	microSD, up to 2 GB	Class 12	8	No	No	SMS, MMS, Email	No	WAP 2.0/xHTML, HTML	Vibration; Downloadable polyphonic ringtones	115 g (4.06 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-zn200.jpg	2 MP, 1600x1200 pixels	No	Yes, v2.0 with A2DP	Licorice, Pink	30 MB	FM radio with RDS	No	Linux / Java-based MOTOMAGX	ZN200	176 x 220 pixels, 1.9 inches (~148 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	95 x 45 x 17 mm (3.74 x 1.77 x 0.67 in)	50	GSM 900 / 1800 	No	No	No	No	400	No	No	TFT, 65K colors	No	Mini-SIM	Yes, v1.1	Discontinued	Motorola	No	No	2008, August. Released 2008	No	No	No	No	microSD, up to 2 GB	No	9	No	No	SMS, EMS, MMS	No	WAP 2.0/xHTML	Vibration; Polyphonic ringtones	94 g (3.32 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w396.jpg	VGA, 640x480 pixels	No	No	lustrous silver, dark titanium gray	No	Stereo FM radio with RDS, broadcast recording	No	No	W396	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
Yes, with stereo speakers	Class 8 (4+1 slots), 32 - 40 kbps	No	108 x 44 x 14.9 mm (4.25 x 1.73 x 0.59 in)	40	GSM 900 / 1800 	No	No	No	No	465	No	&nbsp;	CSTN, 65K colors	No	Mini-SIM	Yes, v1.1	Discontinued	Motorola	No	No	2008, 3Q. Released 2008, November	No	No	No	No	microSD, up to 2 GB	No	9	No	Yes	SMS(750), MMS, Email	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3 ringtones	85 g (2.75 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w231.jpg	No	No	No	Red	1 MB	Stereo FM radio	No	No	W231	128 x 128 pixels, 1.6 inches (~113 ppi pixel density)	low_end
Yes	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	No	115 x 53 x 10.6 mm (4.53 x 2.09 x 0.42 in)	60	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	300	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, v2.0	Discontinued	Motorola	No	No	2008, August. Released 2008, September	Yes	No	No	No	microSD, up to 8 GB	Class 12	6	No	Yes	SMS, MMS	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3, AAC ringtones	100 g (3.53 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-em30.jpg	2 MP, 1600x1200 pixels	No	Yes, v2.0 with A2DP	Black	No	Stereo FM radio with RDS	No	Linux / Java-based MOTOMAGX	EM30	320 x 240 pixels, 2.0 inches (~200 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	94 x 49.5 x 17 mm (3.70 x 1.95 x 0.67 in)	60	GSM 900 / 1800 / 1900 	No	No	No	No	250	No	Yes, MIDP 2.0	TFT, 65K colors	No	Mini-SIM	Yes	Discontinued	Motorola	No	No	2008, August. Released 2009, February	Yes	No	No	No	microSD, up to 2 GB	Class 10, 236.8 kbps	7	No	Yes	SMS, MMS	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3, AAC ringtones	90 g (3.17 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-em28.jpg	1.3 MP, 1280 x 1024 pixels	No	Yes, v2.0 with A2DP	Blue	No	Stereo FM radio with RDS	No	No	EM28	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	101 x 46 x 13.9 mm (3.98 x 1.81 x 0.55 in)	50	GSM 900 / 1800 	No	No	No	No	330	No	Yes, MIDP 2.0	TFT, 65K colors	No	Mini-SIM	Yes	Discontinued	Motorola	No	No	2008, August. Released 2009, July	No	No	No	No	microSD, up to 2 GB	No	8	No	Yes	SMS, MMS	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3, AAC ringtones	90 g (3.17 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-em25.jpg	1.3 MP, 1280 x 1024 pixels	No	Yes, v2.0 with A2DP	Black	No	Stereo FM radio with RDS	No	No	EM25	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
No	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	No	100 x 48.9 x 18.9 mm (3.94 x 1.93 x 0.74 in)	150	GSM 900 / 1800 / 1900 	No	No	No	No	240	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, v2.0	Discontinued	Motorola	No	No	2008, July. Released 2008	Yes	No	No	Yes	microSD, up to 4 GB	Class 12	3	No	Yes	SMS, EMS, MMS	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3 ringtones	103 g (3.63 oz)	HSDPA, 7.2 Mbps; HSUPA, 3.6 Mbps	http://cdn2.gsmarena.com/vv/thumb/motorola-vu20.jpg	2 MP, 1600x1200 pixels	HSDPA 900 / 2100 	Yes, v2.0 with A2DP	Purple, Rose Bloom, Navy Blue	No	No	No	No	PEBL VU20	240 x 320 pixels, 2.2 inches (~182 ppi pixel density)	mid_range
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	106 x 45.7 x 18.8 mm (4.17 x 1.80 x 0.74 in)	50	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	249	No	Yes, MIDP 2.0	TFT, 65K colors	No	Mini-SIM	Yes, miniUSB v2.0	Discontinued	Motorola	No	No	2008. Released 2008	Yes	No	No	No	microSD, up to 2 GB	No	7	No	No	SMS, MMS, Email	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3, AAC, MIDI ringtones	99 g (3.49 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-motoactv-w450.jpg	1.3 MP, 1280 x 1024 pixels	No	Yes, v2.0 with A2DP	Mandarin Orange, Canary Yellow	No	No	No	No	MOTOACTV W450	128 x 160 pixels	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	112 x 51 x 20 mm (4.41 x 2.01 x 0.79 in)	110	GSM 900 / 1800 / 1900 	No	No	No	No	140	No	Yes, MIDP 2.0	TFT, 256K colors	No	Dual SIM (Mini-SIM)	Yes	Discontinued	Motorola	No	No	2008, July. Released 2008	No	No	No	No	microSD, up to 2 GB	Class 10, 236.8 kbps	4	No	No	SMS, MMS	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3, AAC ringtones	137 g (4.83 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-ve75.jpg	2 MP, 1600x1200 pixels	No	Yes	Black, Gray	No	No	No	No	VE75	240 x 400 pixels, 2.6 inches (~179 ppi pixel density)	mid_range
Yes	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	Wi-Fi 802.11 b/g/i	118 x 50.5 x 12-16 mm	100	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	580	No	Yes, MIDP 2.0	TFT, 256K colors	Freescale 500 MHz	Mini-SIM	Yes, v2.0	Discontinued	Motorola	No	No	2008, June. Released 2008, September	Yes, 15fps	No	No	No	microSD, up to 4 GB	Class 12	9	No	Yes	SMS, MMS, Email, Instant Messaging	No	WAP 2.0/xHTML, HTML	Vibration; Downloadable polyphonic, MP3 ringtones	114 g (4.02 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-zn5.jpg	5 MP, 2560&#1093;1920 pixels, autofocus, xenon flash	No	Yes, v2.0 with A2DP	Grey	350 MB	FM radio	No	Linux / Java-based MOTOMAGX	ZN5	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)	mid_range
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	102 x 53.8 x 20.5 mm (4.02 x 2.12 x 0.81 in)	120	GSM 900 / 1800 / 1900 	No	No	No	No	180	No	Yes, MIDP 2.0	TFT resistive touchscreen, 256K colors	No	Mini-SIM	Yes, microUSB v2.0	Discontinued	Motorola	No	No	2009, April. Released 2008, July	Yes, 15fps	No	No	No	microSD, up to 8 GB	Class 10, 236.8 kbps	4	No	Yes	SMS, EMS, MMS, Email, IM	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3 ringtones	125 g (4.41 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-a1210.jpg	3.15 MP, 2048x1536 pixels	No	Yes, v2.0 with A2DP	Golden white, Xuan Yue Powder, Deep Brown	30 MB	Stereo FM radio with RDS	No	Linux	A1210	240 x 400 pixels, 2.8 inches (~167 ppi pixel density)	mid_range
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	98.9 x 53.5 x 19.6 mm (3.89 x 2.11 x 0.77 in)	120	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	180	No	Yes, MIDP 2.0	TFT resistive touchscreen, 256K colors	No	Mini-SIM	Yes, microUSB v2.0	Discontinued	Motorola	No	No	2008, June. Released 2008, August	Yes	No	Yes, with A-GPS support	No	microSD, up to 4 GB	Class 10, 236.8 kbps	6	No	No	SMS, EMS, MMS, Email, Instant Messaging	No	WAP 2.0/xHTML, HTML	Vibration; Downloadable polyphonic, MP3 ringtones	128 g (4.52 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-a1600.jpg	3.15 MP, 2048x1536 pixels, autofocus	No	Yes, v2.0 with A2DP	Black	27 MB	Stereo FM radio	No	Linux	A1600	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)	mid_range
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	95.3 x 52.5 x 25 mm, 101 cc (3.75 x 2.07 x 0.98 in)	140	GSM 900 / 1800 / 1900 / CDMA 800	No	No	No	No	160	No	Yes, MIDP 2.0	TFT resistive touchscreen, 256K colors	No	Mini-SIM	Yes, v1.1 microUSB	Available. Released 2009, Q4	Motorola	No	No	2008, September	Yes	No	Yes, with A-GPS support	No	microSD, up to 32 GB	No	5	No	No	SMS, EMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML	Vibration; Downloadable polyphonic, MP3 ringtones	132 g (4.66 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-a1890.jpg	3.15 MP, 2048x1536 pixels, autofocus	 EV-DO 800	Yes, v1.2 with A2DP	Black	174 MB	Stereo FM radio	No	Linux	A1890	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)	mid_range
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	95.3 x 52.5 x 25 mm, 101 cc (3.75 x 2.07 x 0.98 in)	120	GSM 900 / 1800 / 1900 / CDMA 800	No	No	No	No	110	No	Yes, MIDP 2.0	TFT resistive touchscreen, 256K colors	No	Mini-SIM	Yes, microUSB v2.0	Discontinued	Motorola	No	No	2008, June. Released 2009, May	Yes	No	Yes, with A-GPS support	No	microSD, up to 4 GB	No	5	No	No	SMS, EMS, MMS, Email, Instant Messaging	No	WAP 2.0/xHTML, HTML	Vibration; Downloadable polyphonic, MP3 ringtones	132 g (4.66 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-a1800.jpg	3.15 MP, 2048x1536 pixels, autofocus	No	Yes, v2.0 with A2DP	Black	No	Stereo FM radio	No	Linux	A1800	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)	mid_range
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	105 x 51 x 14 mm (4.13 x 2.01 x 0.55 in)	60	GSM 900 / 1800 / 1900 	No	No	No	No	150	No	Yes, MIDP 2.0	TFT resistive touchscreen, 256K colors	No	Mini-SIM	Yes, v2.0	Discontinued	Motorola	No	No	2008, June. Released 2008, August	Yes	No	No	No	microSD, up to 2 GB	Class 10, 236.8 kbps	4	No	Yes	SMS, MMS, Email	No	WAP 2.0/xHTML, HTML (Opera v8.5)	Vibration; Downloadable polyphonic, MP3 ringtones	100 g (3.53 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-a810.jpg	2 MP, 1600x1200 pixels	No	Yes, v1.2 with A2DP	Excellent Black and White Shang-chi	No	Stereo FM radio	No	No	A810	240 x 320 pixels, 2.2 inches (~182 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	109 x 46 x 14.7 mm (4.29 x 1.81 x 0.58 in)	30	GSM 900 / 1800 	No	No	No	No	400	No	No	TFT, 65K colors	No	Mini-SIM	Yes	Discontinued	Motorola	No	No	2008, July. Released 2008, July	No	No	No	No	microSD, up to 2 GB	No	9	No	No	SMS, MMS	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3 ringtones, composer	86 g (3.25 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w388.jpg	VGA, 640x480 pixels	No	No	Black	7.5 MB	Stereo FM radio with RDS	No	No	W388	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	114 x 53 x 14 mm (4.49 x 2.09 x 0.55 in)	90	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	310	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, v2.0, miniUSB	Discontinued	Motorola	No	No	2008, April. Released 2008, April	Yes	No	Yes	No	microSD	Class 10, 236.8 kbps	4	No	No	SMS, EMS, MMS, Email, Instant Messaging	No	WAP 2.0/xHTML, HTML (Opera 8)	Vibration; Downloadable polyphonic ringtones	139 g (4.90 oz)	HSDPA, 3.6 Mbps	http://cdn2.gsmarena.com/vv/thumb/motorola-z9.jpg	2 MP, 1600x1200 pixels	HSDPA 850 / 1900 	Yes, v2.0 with A2DP	Burgundy Red	No	No	No	No	Z9	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)	low_end
Yes	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	Wi-Fi 802.11b/g, UMA	105 x 45 x 17.3 mm, 69 cc (4.13 x 1.77 x 0.68 in)	80	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	400	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, v2.0, miniUSB	Discontinued	Motorola	No	No	2008, February. Released 2008, May	Yes, QCIF	No	No	No	microSD	Class 12	7	No	No	SMS, EMS, MMS, Email, Instant Messaging	No	WAP 2.0/xHTML, HTML (Opera 8.5)	Vibration; Downloadable polyphonic, MP3, AAC ringtones	110 g (3.88 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-z6w.jpg	2 MP, 1600x1200 pixels, LED flash	No	Yes, v2.0 with A2DP	Black	64 MB	No	No	Linux / Java-based MOTOMAGX	Z6w	240 x 320 pixels, 2.0 inches (~200 ppi pixel density)	low_end
Yes	Yes	No	107 x 46 x 16 mm, 69 cc (4.21 x 1.81 x 0.63 in)	120	GSM 900 / 1800 	No	No	No	No	380	No	Yes, MIDP 2.0	TFT, 65K colors	No	Mini-SIM	Yes, v2.0, miniUSB	Discontinued	Motorola	No	No	2007, December	Yes	No	No	No	microSD	No	5	No	No	SMS, MMS, Email	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3, AAC ringtones	105 g (3.70 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-z6c.jpg	2 MP, 1600x1200 pixels	 CDMA 1xEVDO (800 / 1900 MHz)	Yes, v1.2 with A2DP	Black	40 MB	No	No	No	Z6c	240 x 320 pixels, 2.0 inches (~200 ppi pixel density)	mid_range
No	No	No	110 x 45 x 15 mm, 63 cc (4.33 x 1.77 x 0.59 in)	30	GSM 900 / 1800 	No	No	No	No	465	No	No	CSTN, 65K colors	No	Mini-SIM	Yes, v1.1	Discontinued	Motorola	No	No	2008, February. Released 2008, March	No	No	No	No	No	No	9	No	No	SMS	No	No	Vibration; Polyphonic(32) ringtones	80 g (2.82 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w181.jpg	No	No	No	&nbsp;	No	FM radio	No	No	W181	128 x 128 pixels, 1.6 inches (~113 ppi pixel density)	low_end
No	No	No	113.8 x 42.9 x 14 mm, 63 cc (4.48 x 1.69 x 0.55 in)	20	GSM 850 / 1900 	No	No	No	No	450	No	No	TFT, 65K colors	No	Mini-SIM	Yes, miniUSB	Discontinued	Motorola	No	No	2008, April. Released 2008	No	No	No	No	No	No	9	No	No	SMS	No	No	Vibration; Polyphonic(32) ringtones	82 g (2.89 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w177.jpg	No	No	No	&nbsp;	No	FM radio	No	No	W177	128 x 128 pixels, 1.6 inches (~113 ppi pixel density)	low_end
No	No	No	114 x 43 x 14 mm (4.49 x 1.69 x 0.55 in)	30	GSM 900 / 1800 	No	No	No	No	465	No	No	Monochrome graphics	No	Mini-SIM	Yes, v1.1	Discontinued	Motorola	No	No	2008, February. Released 2008	No	No	No	No	No	No	9	No	No	SMS	No	No	Vibration; Polyphonic(32) ringtones	85 g (3.00 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w161.jpg	No	No	No	&nbsp;	No	FM radio	No	No	W161	128 x 128 pixels	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	95 x 45 x 17 mm (3.74 x 1.77 x 0.67 in)	30	GSM 900 / 1800 	No	No	No	No	450	No	No	CSTN, 65K colors	No	Mini-SIM	Yes, v1.1	Discontinued	Motorola	No	No	2008, January. Released 2008	No	No	No	No	microSD, up to 2 GB	No	9	No	No	SMS, EMS, MMS	No	WAP 2.0/xHTML	Vibration; Polyphonic ringtones	94 g (3.32 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w270.jpg	No	No	No	lustrous silver, dark titanium gray	No	Stereo FM radio with RDS, FM recorder	No	No	W270	128 x 128 pixels, 1.6 inches (~113 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	110 x 45 x 14.7 mm (4.33 x 1.77 x 0.58 in)	30	GSM 900 / 1800 	No	No	No	No	450	No	No	CSTN, 65K colors	No	Mini-SIM	Yes, v1.1	Discontinued	Motorola	No	No	2008, January	No	No	No	No	microSD, up to 2 GB	No	9	No	No	SMS, EMS, MMS	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3 ringtones	80 g (2.82 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w230.jpg	No	No	No	lustrous silver, dark titanium gray	No	Stereo FM radio with RDS	No	No	W230	128 x 128 pixels, 1.6 inches (~113 ppi pixel density)	low_end
Yes	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	No	109.7 x 50.7 x 16.8 mm (4.32 x 2.00 x 0.66 in)	150	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	400	PowerVR MBX	Yes, MIDP 2.0	TFT, 16M colors	300 MHz ARM 1136	Mini-SIM	Yes, v1.1 miniUSB	Discontinued	Motorola	TI OMAP 2420	Scratch-resistant glass	2007, September. Released 2008, May	Yes, QVGA@30fps	No	No	VGA videocall camera	microSD, up to 8 GB	Class 12	7	No	No	SMS, EMS, MMS, Email, Instant Messaging	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3 ringtones	119 g (4.20 oz)	HSDPA, 3.6 Mbps	http://cdn2.gsmarena.com/vv/thumb/motorola-z10.gif	3.15 MP, 2048x1536 pixels, autofocus, LED flash	HSDPA 2100 	Yes, v2.0 with A2DP	Black, Chrome	70 MB storage, 64 MB RAM, 128 MB ROM	No	No	Symbian OS v9.2, UIQ 3.2	RIZR Z10	240 x 320 pixels, 2.2 inches (~182 ppi pixel density)	mid_range
Yes	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	No	115 x 53 x 10.6 mm, 60 cc (4.53 x 2.09 x 0.42 in)	70	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	300	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, v2.0	Discontinued	Motorola	No	No	2007, September. Released 2008, April	Yes	No	No	No	microSD	Class 12	5	No	Yes	SMS, EMS, MMS, Email, Instant Messaging	No	WAP 2.0/xHTML, HTML (Opera mini)	Vibration; Downloadable polyphonic, MP3, AAC ringtones	100 g (3.53 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-rokr_e8.gif	2 MP, 1600x1200 pixels	No	Yes, v2.0 with A2DP	Dark Navy, Platinum	2 GB	Stereo FM radio	No	Linux / Java-based MOTOMAGX	ROKR E8	320 x 240 pixels, 2.0 inches (~200 ppi pixel density)	low_end
Yes	Class 8 (4+1 slots), 32 - 40 kbps	No	99 x 45 x 18.6 mm, 73 cc (3.90 x 1.77 x 0.73 in)	70	GSM 900 / 1800 / 1900 	No	No	No	No	250	No	No	TFT, 65K colors	No	Mini-SIM	Yes, miniUSB	Cancelled	Motorola	No	No	2007, October	No	No	No	No	No	No	7	No	No	SMS, EMS, MMS	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3 ringtones, composer	95 g (3.35 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w377.gif	VGA, 640x480 pixels	No	Yes	Cannon Gray, Lustrous Silver, Mandarin Orange	10 MB	FM radio	No	No	W377	128 x 160 pixels, 1.8 inches, 28 x 35 mm (~114 ppi pixel density)	low_end
No	Yes	No	108 x 44 x 14.9 mm (4.25 x 1.73 x 0.59 in)	70	GSM 900 / 1800 	No	No	No	No	350	No	No	CSTN, 65K colors	No	Mini-SIM	Yes, v1.1	Discontinued	Motorola	No	No	2007, October	No	No	No	No	No	No	8	No	No	SMS, EMS, MMS, Instant Messaging	No	WAP 2.0/xHTML	Vibration; Polyphonic(32) ringtones, composer	78 g (2.75 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w213.gif	No	No	No	Black	1 MB	FM radio (W213 only)	No	No	W213	128 x 128 pixels, 1.55 inches (~117 ppi pixel density)	low_end
Yes	No	No	114 x 43 x 14 mm (4.49 x 1.69 x 0.55 in)	30	GSM 900 / 1800 	No	No	No	No	465	No	No	CSTN, 65K colors	No	Mini-SIM	Yes, v1.1	Discontinued	Motorola	No	No	2007, October. Released 2008, January	No	No	No	No	No	No	9	No	No	SMS	No	No	Vibration; Downloadable polyphonic ringtones	85 g (3.00 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w180.gif	No	No	No	Black	70 KB	FM radio (W180 only)	No	No	W180	128 x 128 pixels, 1.7 inches (~106 ppi pixel density)	low_end
Yes	No	No	114 x 43 x 14 mm (4.49 x 1.69 x 0.55 in)	20	GSM 900 / 1800 	No	No	No	No	465	No	No	Monochrome graphics	No	Mini-SIM	Yes, v1.1	Cancelled	Motorola	No	No	2007, October	No	No	No	No	No	No	9	No	No	SMS	No	No	Vibration; Downloadable polyphonic ringtones	85 g (3.00 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-w160.gif	No	No	No	Black	20 KB	FM radio (W160 only)	No	No	W160	128 x 128 pixels	low_end
No	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	No	90 x 48.6 x 16.4 mm, 57 cc (3.54 x 1.91 x 0.65 in)	70	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	350	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, v2.0	Discontinued	Motorola	No	No	2007, October. Released Released 2008, February	Yes	No	No	No	microSD	Class 12	7	No	No	SMS, EMS, MMS	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3 ringtones	87.5 g (3.07 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-u9.gif	2 MP, 1600x1200 pixels	No	Yes, v2.0 with A2DP	Pink, Purple	25 MB	No	No	Linux / Java-based MOTOMAGX	U9	240 x 320 pixels, 2.0 inches (~200 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	100 x 48 x 18.9 mm, 79.9 cc (3.94 x 1.89 x 0.74 in)	80	GSM 900 / 1800 / 1900 	No	No	No	No	300	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, miniUSB	Discontinued	Motorola	No	No	2007, March	Yes	No	No	Videocall camera	No	Class 10, 236.8 kbps	3	No	No	SMS, EMS, MMS	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3 ringtones	115 g (4.06 oz)	Yes, 384 kbps	http://cdn2.gsmarena.com/vv/thumb/motorola-v1100.jpg	1.3 MP, 1280 x 960 pixels	UMTS 2100 	Yes	Black	64 MB	No	No	No	V1100	240 x 320 pixels	low_end
No	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	87.5 x 49 x 22.2 mm (3.44 x 1.93 x 0.87 in)	60	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	220	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, miniUSB	Discontinued	Motorola	No	No	2007, September. Released 2008, December	Yes	No	No	No	No	Class 10, 236.8 kbps	4	No	No	SMS, EMS, MMS, EMail, Instant Messaging	No	WAP 2.0/xHTML	Vibration; Downloadable polyphonic, MP3 ringtones, composer	105 g (3.70 oz)	No	http://cdn2.gsmarena.com/vv/thumb/motorola-u3.gif	VGA, 640x480 pixels	No	No	&nbsp;	10 MB	No	No	No	PEBL U3	128 x 160 pixels	low_end
